experiment,model,val_rmse,train_rmse,gap_ratio,median_r,deviation,outlier,otype,val_rmse_zscore,gap_zscore,test_mae,mono_violations,mono_rate,max_jump,mean_abs_diff,mean_rolling_var,mean_ma_dev,slope,slope_dev,slope_consistency,final_pred
Exp_007,RF,35.841982175332184,11.782723930960534,3.04190969637785,26.479793186418362,9.362188988913822,False,Inlier,1.1926086403546483,0.7086739697734709,6.806571066954794,40,0.2631578947368421,9.049395640148305,1.486394243186362,9.7386780793697,3.9892757466670647,-0.8600186183813655,0.1399813816186345,0.4529028813016357,0.033163128752112844
Exp_007,XGB,36.63357974644387,31.949565243337524,1.1466065177235272,26.479793186418362,10.153786560025509,False,Inlier,-0.20181353832443352,-0.88422970139185,10.671819325366052,47,0.3092105263157895,10.392311096191406,1.5701594603689093,6.7340082161987525,3.078332251999831,-0.770356678798783,0.229643321201217,0.2861333117325954,32.0697021484375
Exp_007,SVR,32.50359380743092,25.109428267145127,1.294477654433925,26.479793186418362,6.023800621012555,False,Inlier,-0.7779504818899632,0.710152479583044,5.409250333691559,57,0.375,8.799390769833863,2.6911595213777537,13.079097260259353,4.193562093302388,-0.8991238463928948,0.10087615360710522,0.4385252697878847,2.750242197889065
Exp_007,LSTM,20.455992565405804,15.210051696408591,1.3448996080819298,26.479793186418362,-6.023800621012558,False,Inlier,0.08406864145222437,-0.3338004831368806,5.162416651358012,48,0.3157894736842105,10.566749572753906,2.3349699001563224,20.162312224677574,5.010277363976721,-1.062983215565372,0.06298321556537201,0.8221335326396886,5.728187084197998
Exp_007,CNN,14.798556819350557,7.594657184430607,1.9485483623524538,26.479793186418362,-11.681236367067806,False,Inlier,-1.529141847337941,0.17140181793512935,9.934572805766187,43,0.28289473684210525,12.525360107421875,2.8183193520495764,24.519361789982902,5.843172794274367,-1.129240571860596,0.129240571860596,0.9885185248026109,2.3111448287963867
Exp_007,Transformer,17.216426297947443,4.249304546227172,4.051586821008954,26.479793186418362,-9.26336688847092,False,Inlier,2.226778287286356,2.8517205764953366,6.275345040302651,7,0.046052631578947366,3.076934814453125,1.0950396625619185,10.138602100912141,4.674101713802177,-1.0735569945907577,0.07355699459075771,0.2930123106597814,2.335808753967285
Exp_008,RF,35.0100020002264,17.134960332714872,2.0431913071536942,26.186491221352835,8.823510778873565,False,Inlier,0.13321455651151687,-0.5011106981956609,5.789391568082683,34,0.2236842105263158,9.135121147435747,1.3316554704490597,8.784020302243961,3.881586823849161,-0.8813841222221553,0.11861587777784466,0.403135616977771,0.2847125433750771
Exp_008,XGB,38.443606603333606,26.341201315026428,1.4594477352634376,26.186491221352835,12.257115381980771,False,Inlier,0.1974587180747928,0.0940523170668595,12.382461036731994,38,0.25,6.756126403808594,1.1028428705115068,5.226726675966645,3.0173507232539367,-0.7047511933644349,0.2952488066355651,0.25394326211086865,27.095613479614258
Exp_008,SVR,32.45409479904099,24.825474053205102,1.3072900331927797,26.186491221352835,6.267603577688153,False,Inlier,-0.9208334845726209,1.0294325570705702,5.595758459339268,55,0.3618421052631579,9.273721987132049,2.724862964602916,13.330734861699524,4.204414772092266,-0.8946034656714694,0.10539653432853058,0.44276609172601517,1.872720757723613
Exp_008,LSTM,18.581807483017833,11.721832927810395,1.585230534973071,26.186491221352835,-7.604683738335002,False,Inlier,-0.5958404936641328,0.36287920244798033,5.95410237281151,52,0.34210526315789475,11.239219665527344,2.1139928541685404,20.496408687407037,5.153042494680565,-1.0851415123807926,0.0851415123807926,0.8210140961218253,4.393324851989746
