experiment,model,outlier_type,mean_corr_with_others,min_corr_with_others,max_corr_with_others,std_corr_with_others,rank_in_experiment
Exp_065,RF,Inlier,0.48362860841412925,-0.17959564032176883,0.7875690001647659,0.3530260021880587,1
Exp_065,XGB,Inlier,0.41507830980941085,-0.20822338996468698,0.7875690001647659,0.3415580202276165,4
Exp_065,SVR,Inlier,0.44699102535812,0.027916224065194617,0.6917396150904086,0.2271023807244921,3
Exp_065,LSTM,Inlier,0.32854957061366247,0.005783956562368867,0.4622442512045079,0.16559464102274873,5
Exp_065,CNN,Inlier,0.45275535530704614,0.15712233054275887,0.6936654311517138,0.17779963228333243,2
Exp_065,Transformer,Inlier,-0.039399303823226706,-0.20822338996468698,0.15712233054275887,0.13663838766390587,6
Exp_066,RF,Inlier,0.1781264120340467,-0.10383775466889371,0.7764431380436235,0.321505742788859,2
Exp_066,XGB,Inlier,-0.1092197509811342,-0.3297309776643447,0.23351496004889527,0.2119202708998252,6
Exp_066,SVR,Inlier,0.10114486236891973,-0.31251408377123846,0.7764431380436235,0.40175443627622537,3
Exp_066,LSTM,Inlier,0.2355999717296468,-0.18090702331866337,0.5397268727899249,0.259017887850311,1
Exp_066,CNN,Inlier,0.0802464472362419,-0.3125140837712385,0.5736564091242737,0.3960135892506442,4
Exp_066,Transformer,Type2,0.07174596897102922,-0.3297309776643447,0.5736564091242737,0.3805239961112812,5
Exp_067,RF,Inlier,0.29761153500933607,-0.3370312477829215,0.8023015817136003,0.5103284881416222,2
Exp_067,XGB,Inlier,-0.13806088974691372,-0.2942021482401949,0.036067673991677957,0.13301468774997344,5
Exp_067,SVR,Inlier,0.22974298401238163,-0.3945025686869546,0.7888318198502937,0.48740485949912543,4
Exp_067,LSTM,Inlier,0.27381370597339777,-0.10117251224805711,0.5281576695059027,0.2590691029881669,3
Exp_067,CNN,Inlier,-0.2112874921227986,-0.3945025686869546,-0.0812721903705219,0.12895418816602444,6
Exp_067,Transformer,Inlier,0.3575743136414161,-0.14245894152553784,0.8023015817136002,0.38496207372529223,1
Exp_068,RF,Inlier,0.19397436495360307,-0.3589426804944031,0.785364284509037,0.3916024701375785,2
Exp_068,XGB,Inlier,0.16293864042103254,-0.35898824972796717,0.604934774996924,0.41262456328651387,3
Exp_068,SVR,Inlier,0.22669168985285362,-0.3262849762537813,0.785364284509037,0.41365198180589796,1
Exp_068,LSTM,Inlier,-0.01581195496271267,-0.3145454639971782,0.14226708770213212,0.1646075450945818,5
Exp_068,CNN,Inlier,-0.2287484179640989,-0.35898824972796717,0.08737536215303805,0.17035946998478294,6
