experiment,model,val_rmse,train_rmse,gap_ratio,median_r,deviation,outlier,otype,val_rmse_zscore,gap_zscore,test_mae
Exp_007,LSTM,20.455992565405804,15.210051696408591,1.3448996080819298,26.479793186418362,-6.023800621012558,False,Inlier,0.08406864145222437,-0.3338004831368806,5.162416651358012
Exp_007,CNN,14.798556819350557,7.594657184430607,1.9485483623524538,26.479793186418362,-11.681236367067806,False,Inlier,-1.529141847337941,0.17140181793512935,9.934572805766187
Exp_007,Transformer,17.216426297947443,4.249304546227172,4.051586821008954,26.479793186418362,-9.26336688847092,False,Inlier,2.226778287286356,2.8517205764953366,6.275345040302651
Exp_008,RF,35.0100020002264,17.134960332714872,2.0431913071536942,26.186491221352835,8.823510778873565,False,Inlier,0.13321455651151687,-0.5011106981956609,5.789391568082683
Exp_008,XGB,38.443606603333606,26.341201315026428,1.4594477352634376,26.186491221352835,12.257115381980771,False,Inlier,0.1974587180747928,0.0940523170668595,12.382461036731994
Exp_008,SVR,32.45409479904099,24.825474053205102,1.3072900331927797,26.186491221352835,6.267603577688153,False,Inlier,-0.9208334845726209,1.0294325570705702,5.595758459339268
Exp_008,LSTM,18.581807483017833,11.721832927810395,1.585230534973071,26.186491221352835,-7.604683738335002,False,Inlier,-0.5958404936641328,0.36287920244798033,5.95410237281151
Exp_008,CNN,19.918887643664682,12.057206805969368,1.6520316823132781,26.186491221352835,-6.267603577688153,False,Inlier,-0.2574477655780792,-0.5063333211797119,9.037125593696544
Exp_008,Transformer,16.67253762155562,5.043739124083109,3.305590795119977,26.186491221352835,-9.513953599797215,False,Inlier,2.064524063516352,1.7983408324919556,6.356627455723831
Exp_009,RF,34.51347581019367,22.400131630120615,1.540771115995796,27.65517774050035,6.858298069693319,False,Inlier,-0.4990323694767919,-1.1097109309530897,4.422326573765012
Exp_009,XGB,46.3165642194426,41.51600871341304,1.1156314312189308,27.65517774050035,18.661386478942248,True,Type1,1.9341476185482773,-0.981091522816592,22.193418216082005
Exp_009,SVR,32.43074262216253,24.81094208852386,1.3071145185237913,27.65517774050035,4.775564881662184,False,Inlier,-0.9882414844518445,1.0250587918104643,5.578708550294594
Exp_009,LSTM,22.87961285883816,17.621909878434625,1.2983616995362017,27.65517774050035,-4.775564881662188,False,Inlier,0.9632996165800745,-0.46870619798938673,7.4306901062236115
Exp_009,CNN,21.904980153325365,14.095969826742866,1.5539888650844902,27.65517774050035,-5.750197587174984,False,Inlier,0.23582155178119563,-0.7304254780357261,12.781785689148249
Exp_009,Transformer,16.272627350213188,5.124309772439689,3.1755744818029945,27.65517774050035,-11.382550390287161,False,Inlier,1.9452218359267264,1.6147519847163925,3.056888557727041
Exp_010,RF,35.793577932813,10.113704126713065,3.539116577305475,28.81156574291882,6.982012189894181,False,Inlier,1.1309735561397982,1.3109591262751688,6.981422852824411
Exp_010,XGB,36.20794637727159,21.53025640622909,1.681723881690326,28.81156574291882,7.39638063435277,False,Inlier,-0.2957036345190529,0.789129388086055,7.330858218124489
Exp_010,SVR,32.97124236538622,26.461319450081106,1.2460165649557267,28.81156574291882,4.159676622467398,False,Inlier,0.5719559573360444,-0.4974812233338144,5.006428070854315
Exp_010,LSTM,24.651889120451422,21.96943969512145,1.1220991278136982,28.81156574291882,-4.159676622467398,False,Inlier,1.60623868996412,-0.9796622977161386,6.425972106410008
Exp_010,CNN,16.923956041243358,7.61737680053239,2.2217564503387197,28.81156574291882,-11.887609701675462,False,Inlier,-1.0012740777353508,0.7958615329643416,6.092859509723638
Exp_010,Transformer,10.767555982711226,4.209652055148387,2.5578256448873367,28.81156574291882,-18.044009760207594,True,Type2,0.3029352425411766,0.74246300581311,4.93750582645142
Exp_011,RF,35.32125702404675,16.008251181213097,2.206440705122052,26.343140105820744,8.978116918226007,False,Inlier,0.5295481960237891,-0.3033606408739632,5.774174273012923
Exp_011,XGB,34.64224595891734,25.884953597677285,1.3383159381837126,26.343140105820744,8.299105853096599,False,Inlier,-0.6410801334930655,-0.28473747245813014,5.7894059848162085
Exp_011,SVR,32.97135945131538,26.475338617193678,1.2453611992672697,26.343140105820744,6.628219345494635,False,Inlier,0.5722939356041898,-0.5138127111653445,4.92933553381511
Exp_011,LSTM,17.435651783773384,11.785308381724414,1.4794395885992266,26.343140105820744,-8.90748832204736,False,Inlier,-1.0116381315308607,0.05620871184217254,5.639849276324503
Exp_011,CNN,19.714920760326113,8.537456336963979,2.309226540341754,26.343140105820744,-6.628219345494632,False,Inlier,-0.30810532801232055,0.9957880720337853,8.694615787929958
Exp_011,Transformer,6.818199643198469,4.8663294052594885,1.4010970231134405,26.343140105820744,-19.524940462622276,False,Inlier,-0.8752465712628421,-0.890889528516491,2.367041826248169
Exp_012,RF,35.03132790383133,13.18370520958839,2.6571686295255876,28.234056657370875,6.797271246460458,False,Inlier,0.1603696940829158,0.24262282979442545,5.593145366019259
Exp_012,XGB,33.274190492477615,24.862378776335316,1.3383349514467573,28.234056657370875,5.04013383510674,False,Inlier,-0.9428583037370675,-0.28467801631135037,2.9331491507735907
Exp_012,SVR,32.74812688245945,25.773811939633788,1.2705969516329434,28.234056657370875,4.514070225088577,False,Inlier,-0.07208543222951305,0.11505356904822187,5.1687109644472695
