experiment,model,otype,param_max_depth,param_min_samples_split,param_max_features,param_learning_rate,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_C,param_epsilon,param_units,param_dropout,param_l2_reg,param_lr,param_filters,param_kernel_size,param_num_heads,param_d_model,param_num_layers
Exp_023,SVR,Inlier,,,,,,,,,10.0,0.5,,,,,,,,,
Exp_023,LSTM,Inlier,,,,,,,,,,,64,0.1,0.005,0.001,,,,,
Exp_023,CNN,Inlier,,,,,,,,,,,,0.4,0.005,,32,7,,,
Exp_023,Transformer,Type2,,,,,,,,,,,,0.1,,0.001,,,4,16,1
Exp_024,RF,Inlier,6,40,0.4,,,,,,,,,,,,,,,,
Exp_024,XGB,Inlier,4,,,0.03,0.9,0.8,2.0,10.0,,,,,,,,,,,
Exp_024,SVR,Inlier,,,,,,,,,30.0,0.5,,,,,,,,,
Exp_024,LSTM,Inlier,,,,,,,,,,,48,0.3,0.02,0.001,,,,,
Exp_024,CNN,Inlier,,,,,,,,,,,,0.1,0.005,,24,3,,,
Exp_024,Transformer,Inlier,,,,,,,,,,,,0.1,,0.001,,,4,64,2
Exp_025,RF,Inlier,6,40,0.7,,,,,,,,,,,,,,,,
Exp_025,XGB,Inlier,5,,,0.03,0.9,0.6,0.5,10.0,,,,,,,,,,,
Exp_025,SVR,Inlier,,,,,,,,,100.0,2.0,,,,,,,,,
Exp_025,LSTM,Inlier,,,,,,,,,,,24,0.5,0.005,0.002,,,,,
Exp_025,CNN,Inlier,,,,,,,,,,,,0.3,0.01,,32,7,,,
Exp_025,Transformer,Type2,,,,,,,,,,,,0.4,,0.002,,,2,16,1
Exp_026,RF,Inlier,10,30,0.4,,,,,,,,,,,,,,,,
Exp_026,XGB,Inlier,6,,,0.02,0.8,0.6,5.0,5.0,,,,,,,,,,,
Exp_026,SVR,Inlier,,,,,,,,,80.0,1.5,,,,,,,,,
Exp_026,LSTM,Inlier,,,,,,,,,,,24,0.2,0.001,0.0005,,,,,
Exp_026,CNN,Inlier,,,,,,,,,,,,0.1,0.005,,32,5,,,
